Date;Object type;Object;Comments;Patch;Code;Modifier;Activity code;Update type;Delivered on
20190219;ACV;YICBS;User site selection;;DFCX1-27c;DH;YICBS;M;20190220
20190218;AML;6250;Business batch header;;;DH;;M;20190220
20190215;AML;6252;BP number;;;DH;;M;20190220
20190213;AML;6253;;;;;;M;20190220
20190213;AML;6254;;;;;;M;20190220
20190213;TRT;SPEGAS;;;;;;C;20190220
20190213;TRT;SPEGTE;;;;;;M;20190220
20190204;TRT;SPEJOU;;;;;;M;20190220
20190204;TRT;SPEYBB;;;;;;M;20190220
20190205;TRT;SPEYBBVAL;Payement simulation;;;;;M;20190220
20190205;TRT;SPEYCHKJOU;;;;;;M;20190220
20190201;TRT;SUBGAS;Business batch entry;;;;YICBS;M;20190220
20190131;TRT;SUBYBB;Journal entry;;;;YICBS;M;20190220
20190124;TRT;YBBACCSEL;;;;;;M;20190220
20181214;TRT;YBBDIESEL;;;;;;M;20190220
20181220;TRT;YBBJNLENT;;;;;;M;20190220
20181214;TRT;YBBSELACC;;;;;;M;20190220
20190208;TRT;YBBSELBP;;;;;;M;20190220
20181214;TRT;YBBSELELA;;;;;;C;20190220
20181213;TRT;YBBSELGTE;Dimension selection;;;;YICBS;M;20190220
20181210;TRT;YBBSELJOU;;;;;YICBS;M;20190220
20181207;TRT;YBBSELTAX;Business batch;;;;;M;20190220
20181211;TRT;YBBSIMRPT;;;;;;M;20190220
20190204;TRT;YDEFJOUSEL;;;;;YICBS;M;20190220
20181214;ETA;YBBSIMRPT;Document types;;;;;M;20190220
20181122;ETA;YBBTAXINV;Financial;;;;;M;20190220
20190213;ANM;YBBHS;Business batch transaction;;;;YICBS;M;20190220
20181204;ACT;YBBACCSEL;Accounting entries;;;;;M;20190220
20181204;ACT;YBBBANSEL;;;;;;C;20190220
20190213;ACT;YBBBANSEL;Journal entry;;;;;M;20190220
20190213;ACT;YBBDIESEL;Accounting entries;;;;YICBS;M;20190220
20190208;ACT;YBBDIESEL;Business batch post simulation;;;;;C;20190220
20181113;ACT;YBBSELBP;Inter company ELA;;;;;M;20190220
20181203;ACT;YBBSELELA;;;;;;C;20190220
20181204;ACT;YBBSELELA;;;;;;M;20190220
20190124;ACT;YBBSELGTE;Journal entry;;;;;M;20190220
20181204;ACT;YBBSELJOU;Visual business batch;;;;YICBS;M;20190220
20190213;ACT;YBBSELTAX;Journal entry;;;;;M;20190220
20190201;ACT;YBBSIMRPT;Accounting entries;;;;;M;20190220
20190208;ACT;YBBVAL;Business batch simulation;;;;;M;20190220
20190219;ACT;YBBVAL;Business batch;;;DH;;M;20190220
20181120;ACT;YCHKJOU;Bank ELA;;;;;M;20190220
20190220;ACT;YDEFJOUSEL;Business batch;;;DH;;M;20190220
20190109;ACT;YJNLBBENT;BP selection;;;;YICBS;M;20190220
20181019;ACT;YJNLENT;;;;;;M;20190220
20190109;ACT;YUSRFCYSEL;Business batch details temp;;;;;M;20190220
20190213;ACT;YVISBB;Business batch details;;;;;M;20190220
20190220;ACT;YVISJOU;Business batch;;;DH;;M;20190220
20181101;AFC;GESYBB;;;;;;C;20190220
20181207;ATY;YBPR;Business Batch Simulation Rpt;;;;YICBS;C;20190220
20181212;ATB;GACCENTRYD;;;;;;C;20190220
20181214;ATB;GJOURNAL;;;;;;C;20190220
20190103;ATB;GTYPACCENT;Tax selection;;;;;M;20190220
20190103;ATB;YBANELA;;;;;;M;20190220
20190109;ATB;YBBDETAIL;Business Batch Tax Invoice;;;;;C;20190220
20190201;ATB;YBBDETAIL;Accounting entries;;;;;M;20190220
20190201;ATB;YBBDETAILTEM;;;;;;M;20190220
20190211;ATB;YBBERR;Accounting entries;;;;;M;20190220
20190213;ATB;YBBHEADER;;;;;;M;20190220
20181010;ATB;YBBHEADER;;[PATCH]/SRC_20181010;;;;M;20190220
20181010;ATB;YBBPSIM;Business batch;[PATCH]/SRC_20181010;;;YICBS;M;20190220
20181010;ATB;YBBSIM;;[PATCH]/SRC_20181010;;;;M;20190220
20181010;ATB;YBBSIM;;[PATCH]/SRC_20181010;;;;M;20190220
20181010;ATB;YICELA;;[PATCH]/SRC_20181010;;;;M;20190220
20181010;ATB;YPAYMSIM;;[PATCH]/SRC_20181010;;;;M;20190220
