Date;Object type;Object;Comments;Patch;Code;Modifier;Activity code;Update type;Delivered on
20190219;ACV;YICBS;User site selection;;DFCX1-27c;;YICBS;M;20190301
20190226;AML;6250;Business batch header;;;DH;;M;20190301
20190215;AML;6252;BP number;;;;;M;20190301
20190213;AML;6253;;;;;;M;20190301
20190213;AML;6254;;;;;;M;20190301
20190213;TRT;SPEBAN;;;;;;C;20190301
20190213;TRT;SPEGAS;;;;;;M;20190301
20190204;TRT;SPEGTE;;;;;;M;20190301
20190204;TRT;SPEJOU;;;;;;M;20190301
20190205;TRT;SPEYBB;Payement simulation;;;;;M;20190301
20190205;TRT;SPEYBBJNLENT;;;;;;M;20190301
20190131;TRT;SPEYBBVAL;Journal entry;;;;YICBS;M;20190301
20190124;TRT;SPEYCHKJOU;;;;;;M;20190301
20181214;TRT;SPEYUSRFCYSEL;;;;;;M;20190301
20181220;TRT;SUBGAS;;;;;;M;20190301
20181214;TRT;SUBYBB;;;;;;M;20190301
20190208;TRT;YBBACCSEL;;;;;;M;20190301
20181214;TRT;YBBBANSEL;;;;;;C;20190301
20181213;TRT;YBBDIESEL;Dimension selection;;;;YICBS;M;20190301
20181210;TRT;YBBSELACC;;;;;YICBS;M;20190301
20181207;TRT;YBBSELBP;Business batch;;;;;M;20190301
20181211;TRT;YBBSELELA;;;;;;M;20190301
20190227;TRT;YBBSELGTE;;;;DH;YICBS;M;20190301
20181214;TRT;YBBSELJOU;Document types;;;;;M;20190301
20181122;TRT;YBBSELTAX;Financial;;;;;M;20190301
20190213;TRT;YBBSIMRPT;Business batch transaction;;;;YICBS;M;20190301
20181204;TRT;YDEFJOUSEL;Accounting entries;;;;;M;20190301
20181204;ETA;YBBSIMRPT;;;;;;C;20190301
20190213;ETA;YBBTAXINV;Journal entry;;;;;M;20190301
20190213;ANM;YBBHS;Accounting entries;;;;YICBS;M;20190301
20190208;ACT;YBBACCSEL;Business batch post simulation;;;;;C;20190301
