Date;Object type;Object;Comments;Patch;Code;Modifier;Activity code;Update type;Delivered on
20190306;ACV;YICBS;;;DFCX1-27c;DH;;M;20190306
20190219;AML;6250;User site selection;;;;YICBS;M;20190306
20190226;AML;6252;Business batch header;;;;;M;20190306
20190215;AML;6253;BP number;;;;;M;20190306
20190213;AML;6254;;;;;;M;20190306
20190213;TRT;SPEBAN;;;;;;M;20190306
20190213;TRT;SPEGAS;;;;;;C;20190306
20190213;TRT;SPEGTE;;;;;;M;20190306
20190204;TRT;SPEJOU;;;;;;M;20190306
20190204;TRT;SPEYBB;;;;;;M;20190306
20190205;TRT;SPEYBBJNLENT;Payement simulation;;;;;M;20190306
20190205;TRT;SPEYBBVAL;;;;;;M;20190306
20190131;TRT;SPEYCHKJOU;Journal entry;;;;YICBS;M;20190306
20190124;TRT;SPEYJNLBBENT;;;;;;M;20190306
20181214;TRT;SUBGAS;;;;;;M;20190306
20190306;TRT;SUBYBB;Business batch;;;DH;YICBS;M;20190306
20181214;TRT;YBBACCSEL;;;;;;M;20190306
20190208;TRT;YBBBANSEL;;;;;;M;20190306
20181214;TRT;YBBDIESEL;;;;;;C;20190306
20181213;TRT;YBBSELACC;Dimension selection;;;;YICBS;M;20190306
20190306;TRT;YBBSELBP;;;;DH;YICBS;M;20190306
20181207;TRT;YBBSELELA;Business batch;;;;;M;20190306
20181211;TRT;YBBSELGTE;;;;;;M;20190306
20190227;TRT;YBBSELJOU;;;;;YICBS;M;20190306
20181214;TRT;YBBSELTAX;Document types;;;;;M;20190306
20181122;TRT;YBBSIMRPT;Financial;;;;;M;20190306
20190305;TRT;YDEFJOUSEL;Business batch transaction;;;DH;YICBS;M;20190306
20181204;ETA;YBBSIMRPT;Accounting entries;;;;;M;20190306
20181204;ETA;YBBTAXINV;;;;;;C;20190306
20190213;ANM;YBBHS;Journal entry;;;;;M;20190306
20190213;ACT;YBBACCSEL;Accounting entries;;;;YICBS;M;20190306
20190208;ACT;YBBBANSEL;Business batch post simulation;;;;;C;20190306
20181113;ACT;YBBDIESEL;Inter company ELA;;;;;M;20190306
20181203;ACT;YBBDIESEL;;;;;;C;20190306
20181204;ACT;YBBJNLENT;;;;;;M;20190306
20190124;ACT;YBBSELBP;Journal entry;;;;;M;20190306
20181204;ACT;YBBSELELA;Visual business batch;;;;YICBS;M;20190306
20190213;ACT;YBBSELELA;Journal entry;;;;;M;20190306
20190201;ACT;YBBSELGTE;Accounting entries;;;;;M;20190306
20190226;ACT;YBBSELJOU;Business batch simulation;;;;;M;20190306
20190227;ACT;YBBSELTAX;Business batch;;;;;M;20190306
20181120;ACT;YBBSIMRPT;Bank ELA;;;;;M;20190306
20190226;ACT;YBBVAL;Business batch;;;;;M;20190306
20190109;ACT;YBBVAL;BP selection;;;;YICBS;M;20190306
20181019;ACT;YCHKJOU;;;;;;M;20190306
20190109;ACT;YDEFJOUSEL;Business batch details temp;;;;;M;20190306
20190226;ACT;YJNLENT;Business batch details;;;;;M;20190306
20190227;ACT;YUSRFCYSEL;Business batch;;;;;M;20190306
20181101;ACT;YVISBB;;;;;;C;20190306
20181207;ACT;YVISJOU;Business Batch Simulation Rpt;;;;YICBS;C;20190306
20181212;AFC;GESYBB;;;;;;C;20190306
20181214;ATY;YBPR;;;;;;C;20190306
20190103;ATB;GACCENTRYD;Tax selection;;;;;M;20190306
20190103;ATB;GJOURNAL;;;;;;M;20190306
20190109;ATB;GTYPACCENT;Business Batch Tax Invoice;;;;;C;20190306
20190201;ATB;YBANELA;Accounting entries;;;;;M;20190306
20190201;ATB;YBBDETAIL;;;;;;M;20190306
20190211;ATB;YBBDETAIL;Accounting entries;;;;;M;20190306
20190213;ATB;YBBDETAILTEM;;;;;;M;20190306
20190221;ATB;YBBERR;;;;;;M;20190306
20190226;ATB;YBBHEADER;;;;;;M;20190306
