Date;Object type;Object;Comments;Patch;Code;Modifier;Activity code;Update type;Delivered on
20190404;AML;6219;Land purchase;;DFCX1-376;;;M;20190416
20190415;AML;6229;Commission;;;;;M;20190416
20190415;AML;6242;Related;;;;;M;20190416
20190404;AML;6255;Business batch header;;;;YICBS;M;20190416
20190328;AML;6261;;;;;;M;20190416
20190328;TRT;SPEBPC;;;;;;M;20190416
20190322;TRT;SPEYEST;Precinct;;;;;M;20190416
20190322;TRT;SPEYLOT;General schema;;;;;M;20190416
20190322;TRT;SPEYPJMCRE;Sales contract;;;;;M;20190416
20190306;TRT;SPEYSLC;Sales contract list;;;;YLAND;M;20190416
20190306;TRT;SPEYSLCCS;Customer;;;;;M;20190416
20190306;TRT;SPEYSTA;Sales Contract List;;;;YLAND;M;20190416
20190306;TRT;SUBYLOT;Sales Contract List;;;;;M;20190416
20190305;TRT;SUBYSCLIST;;;;;;M;20190416
20190227;TRT;SUBYSLC;Estate Land Purchase;;;;;M;20190416
20190305;TRT;SUBYSLCAC;;;;;;M;20190416
20190227;TRT;SUBYSRU;General;;;;;M;20190416
20190322;TRT;SUBYSTA;Lot;;;;;M;20190416
20190326;TRT;YLOT_CSPE;Stage;;;;;M;20190416
20190322;TRT;YSALCTR_CSPE;Stage;;;;;M;20190416
20190328;TRT;YSELSETRUL;Precinct Stages;;;;;M;20190416
20190403;ANM;YLOT;Precinct - General Scheme;;;;;M;20190416
20190227;ANM;YSTA;;;;;;M;20190416
20190227;ACT;YPRESEL;;;;;;M;20190416
20190227;ACT;YSCLIST;Lot Sales;;;;;M;20190416
20190404;AFC;MYLD1;Estate Stages;;;;;M;20190416
20190227;AFC;MYLD2;;;;;;M;20190416
20190215;ACL;YINTENDMAN;Sales contract workflow;;;;;M;20190416
20190227;ACL;YSTAGNBR;Estate Precincts;;;;;M;20190416
20190215;ATY;YLOT;;;;;;M;20190416
20190208;ATY;YSTA;Estate;;;;;M;20190416
20190215;ATB;YBBHEADER;Land Developm - Sales Contract;;;;;M;20190416
20190227;ATB;YESTA;Sales contract commission allo;;;;;M;20190416
20190227;ATB;YGSCGEN;Land Developent - Stage;;;;;M;20190416
20190228;ATB;YLNDPUR;Land Developments - Stage;;;;;M;20190416
20190228;ATB;YLOT;Land Developent - Lot;;;;;M;20190416
20190305;ATB;YPRECINT;Lot;;;;;M;20190416
20190305;ATB;YSALCTR;;;;;;M;20190416
20190306;ATB;YSALCTR;Customers;;;;;M;20190416
20190306;ATB;YSCCOMALLOC;;;;;;C;20190416
20190315;ATB;YSCWRKFLW;Sales contract;;;;;M;20190416
20190315;ATB;YSTAGE;Stage;;;;;M;20190416
20190315;ATB;YSTAGREG;Estate;;;;;M;20190416
20190320;AMK;YEST;;;;;;M;20190416
20190325;AMK;YEST;General Scheme;;;;;M;20190416
20190325;AMK;YEST2;Precinct;;;;;M;20190416
20190325;AMK;YEST3;Planning App;;;;;M;20190416
20190325;AMK;YEST4;Sales contract;;;;;M;20190416
20190325;AMK;YLOT1;Precinct;;;;;M;20190416
20190325;AMK;YLOT1;Lot;;;;;M;20190416
20190325;AMK;YLOT2;General Scheme;;;;;M;20190416
20190325;AMK;YPRE2;Planning Applications;;;;;M;20190416
20190325;AMK;YPRE3;Land purchases;;;;;M;20190416
20190326;AMK;YSCL0;;;;;;C;20190416
20190326;AMK;YSCLIST;;;;;;C;20190416
20190403;AMK;YSLC;Precinct - View;;;;;C;20190416
20190403;AMK;YSLC;Sales contract - View;;;;;C;20190416
20190403;AMK;YSLC1;Stage - View;;;;;C;20190416
20190403;AMK;YSLC2;Lot - View;;;;;C;20190416
20190416;AMK;YSLC3;;;;;;C;20190416
20190416;AMK;YSLC4;Sales Contract List;;;;;M;20190416
20190416;AMK;YSLC5;Sales Contract;;;;;M;20190416
20190206;AMK;YSLCCONSGN;;[PATCH]/SRC_20190208;;;;M;20190416
20190206;AMK;YSTA;General;[PATCH]/SRC_20190208;;;;M;20190416
20190206;AMK;YSTA;Developments;[PATCH]/SRC_20190208;;;;M;20190416
20190206;AMK;YSTA2;Precinct Selection-Per Estate;[PATCH]/SRC_20190208;;;YLAND;M;20190416
20190206;AMK;YSTA3;Settlement;[PATCH]/SRC_20190208;;;;M;20190416
20190206;AWI;OBPC;Stage;[PATCH]/SRC_20190208;;;;M;20190416
20190206;AWI;OYSCLIST; Comment type ;[PATCH]/SRC_20190208;;;;M;20190416
20190206;AWI;OYSLC;Intend user mandatory (Hold=Y);[PATCH]/SRC_20190208;;;;M;20190416
20190206;ACLA;YCMA;Lot;[PATCH]/SRC_20190208;;;;M;20190416
20190206;ACLA;YEST;;[PATCH]/SRC_20190208;;;;M;20190416
20190206;ASW;YEST;Stage title registration;[PATCH]/SRC_20190208;;;;M;20190416
20190206;ACLA;YGSC;Sales Contract Header;[PATCH]/SRC_20190208;;;;M;20190416
20190206;ASW;YGSC;Sales Contract - Contract sign;[PATCH]/SRC_20190208;;;YLAND;M;20190416
20190206;ASW;YLNDPUR;Sales contract;[PATCH]/SRC_20190208;;;;M;20190416
20190206;ASW;YLOT;Stage;[PATCH]/SRC_20190208;;;;M;20190416
20190206;ACLA;YLOT;Estate;[PATCH]/SRC_20190208;;;;M;20190416
20190206;ACLA;YLOTVIW; Reporting group ;[PATCH]/SRC_20190208;;;;M;20190416
20190206;ASW;YPLA;Stage number;[PATCH]/SRC_20190208;;;;M;20190416
20190206;ACLA;YPLA;Stage title registration;[PATCH]/SRC_20190208;;;;M;20190416
20190206;ASW;YPRE;;[PATCH]/SRC_20190208;;;;M;20190416
20190206;ACLA;YPRE;Land Developments - Stage;[PATCH]/SRC_20190208;;;;M;20190416
20190206;ACLA;YPREVIW;Lot;[PATCH]/SRC_20190208;;;;M;20190416
20190206;ASW;YSALCTR; Intended use ;[PATCH]/SRC_20190208;;;;M;20190416
20190206;ACLA;YSALCTR; Land development & Settlement;[PATCH]/SRC_20190208;;;;M;20190416
20190206;ACLA;YSLCVIW;Lot;[PATCH]/SRC_20190208;;;;M;20190416
20190206;ACLA;YSLL; Trafic light ;[PATCH]/SRC_20190208;;;;M;20190416
20190206;ACLA;YSRG;Land Developm - Sales Contract;[PATCH]/SRC_20190208;;;;M;20190416
20190206;ACLA;YSTA;Sales contract;[PATCH]/SRC_20190208;;;;M;20190416
20190206;ASW;YSTA;Estate;[PATCH]/SRC_20190208;;;;M;20190416
20190208;ACLA;YSTAVIW;Land Developments - Estate;[PATCH]/SRC_20190208;;;;M;20190416
