Date;Object type;Object;Comments;Patch;Code;Modifier;Activity code;Update type;Delivered on
20180829;ACV;YICBS;Business batch transaction;;;;YICBS;M;20180907
20180829;TRT;YSELELA;;;;;;C;20180907
20180807;ACT;YBBVAL;;;;;;C;20180907
20180828;ACT;YELASEL;IC - Business Batch;;;;YICBS;M;20180907
20180828;AFC;GESYBBT;;;;;;C;20180907
20180903;ATY;YBBN;Business batch details;;;DH;;M;20180907
20180829;ATY;YLONAGR;Business batch details temp;;;;;M;20180907
20180829;ATB;YBBDETAIL;Business batch simulation;;;;;M;20180907
20180829;ATB;YBBDETTEMP;Business batch errors;;;;;M;20180907
20180830;ATB;YBBERR;Business batch;;;DH;;M;20180907
20180905;ATB;YBBHEADER;Business batch;;;DH;;M;20180907
20180828;ATB;YBBSIM;Business batch;;;;;M;20180907
20180828;AMK;YBUSBAT0;Business batch;;;;;M;20180907
20180828;AMK;YBUSBAT3;;;;;;C;20180907
20180828;AOB;OBBT;;;;;;C;20180907
20180829;AOB;YBB;Business batch transaction;;;;YICBS;M;20180907
20180830;AOB;YBBT;ELA selection;;;;YICLA;M;20180907
20180830;AWI;OBBT;;;;;;M;20180907
20180830;AWI;YOBBT;;;;;;M;20180907
