Date;Object type;Object;Comments;Patch;Code;Modifier;Activity code;Update type;Delivered on
20181122;ACV;YLSR;Settlement rule ID;;DFCX1-187;MAJID;;M;20181122
20181120;AML;6255;;;;;;M;20181122
20181120;TRT;SPEYSRT;Lot select (Per Estate-Stage);;;;YLSP;M;20181122
20181122;TRT;SPEYSTR;Settlement Rule type;;;;YLSP;M;20181122
20181120;TRT;SUBYSRT;Stage Selection-Per Estat&Prec;;;;YLAND;M;20181122
20181122;TRT;SUBYSTR;Settlement Rule;;;;;M;20181122
20181119;TRT;YPRESEL;;;;;;M;20181122
20181122;TRT;YSELLNDPUR;Settlement Rule;;;MAJID;YLAND;M;20181122
20181120;TRT;YSELLOT;;;;;YLAND;M;20181122
20181122;TRT;YSTASEL;Land Pur Selection (per Estat);;;;YLSP;M;20181122
20181122;ACT;YPRESEL;;;;;;M;20181122
20181122;ACT;YSELLNDPUR;;;;;;M;20181122
20181122;ACT;YSELLOT;;;;;;M;20181122
20181122;ACT;YSTASEL;;;;;;M;20181122
20181119;AFC;GESYSETRUL; Land development & Settlement;[PATCH]/SRC_20181119;;;YLSP;M;20181122
20181116;AFC;GESYSETRULT;Settlement Rule type;[PATCH]/SRC_20181119;;;YLSP;M;20181122
20181116;ATY;YSRID;;[PATCH]/SRC_20181119;;;YLSP;C;20181122
20181119;ATY;YSRID;Settlement Rule type;[PATCH]/SRC_20181119;;;YLSP;C;20181122
20181115;ATY;YSRLTYP;Settlement Rule;[PATCH]/SRC_20181119;;;YLSP;M;20181122
20181119;ATB;YSETRUL;Settlement Rule;[PATCH]/SRC_20181119;;;YLSP;M;20181122
20181119;ATB;YSETRUL;Settlement Rule type;[PATCH]/SRC_20181119;;;YLSP;M;20181122
20181115;ATB;YSETRULTYP;Settlement rule ID;[PATCH]/SRC_20181119;;;YLSP;M;20181122
20181115;AMK;YLOT3;Land Settlement rule type;[PATCH]/SRC_20181119;;;YLSP;M;20181122
20181115;AMK;YPLA1;Settlement Rule;[PATCH]/SRC_20181119;;;YLSP;C;20181122
20181119;AMK;YSETRUL;Settlement Rule type;[PATCH]/SRC_20181119;;;YLSP;M;20181122
20181115;AMK;YSETRUL;Lot Analytics;[PATCH]/SRC_20181119;;;YLSP;C;20181122
20181119;AMK;YSETRULTYP;Settlement Rule;[PATCH]/SRC_20181119;;;YLSP;M;20181122
20181119;AMK;YSETRULTYP;Settlement Rule type;[PATCH]/SRC_20181119;;;;C;20181122
20181119;AOB;YSETRUL;Settlement Rule;[PATCH]/SRC_20181119;;;;C;20181122
20181119;AOB;YSETRULT;Settlement Rule type;[PATCH]/SRC_20181119;;;;C;20181122
20181119;AWI;OYSETRUL;Settlement Rule;[PATCH]/SRC_20181119;;;;C;20181122
20181119;AWI;OYSETRULTYP;Settlement Rule type;[PATCH]/SRC_20181119;;;;M;20181122
20181119;ASW;YSETRUL;Settlement Rule;[PATCH]/SRC_20181119;;;YLSP;C;20181122
20181119;ACLA;YSETRUL;Settlement Rule;[PATCH]/SRC_20181119;;;YLSP;C;20181122
20181119;ASW;YSETRULTYP;Settlement Rule type;[PATCH]/SRC_20181119;;;YLSP;C;20181122
20181119;ACLA;YSETRULTYP;Settlement Rule type;[PATCH]/SRC_20181119;;;YLSP;C;20181122
