Date;Object type;Object;Comments;Patch;Code;Modifier;Activity code;Update type;Delivered on
20190201;AML;6219;General;;DFXC1-189-;;;M;20190201
20190131;AML;6229;Stage;;;;;M;20190201
20190201;AML;6242;;;;;;M;20190201
20190201;AML;6255; Comment type ;;;;;M;20190201
20190201;AML;6261;Intend user mandatory (With=Y);;;;;C;20190201
20190201;TRT;SPEYLOT;Lot;;;;;M;20190201
20190201;TRT;SPEYSLC;;;;;;M;20190201
20190131;TRT;SUBYLOT;Stage title registration;[PATCH]/SRC_20190131;;;;M;20190201
20190131;TRT;SUBYSLCAC;Sales Contract Header;[PATCH]/SRC_20190131;;;;M;20190201
20190131;TRT;SUBYSRU;;[PATCH]/SRC_20190131;;;;M;20190201
20190131;TRT;SUBYSTA;Sales contract;[PATCH]/SRC_20190131;;;;M;20190201
20190131;ACL;YINTENDMAN;Stage;[PATCH]/SRC_20190131;;;YLAND;M;20190201
20190131;ACL;YSTAGNBR;;[PATCH]/SRC_20190131;;;YLAND;M;20190201
20190131;ATB;YESTA;Estate;[PATCH]/SRC_20190131;;;YLAND;M;20190201
20190129;ATB;YSALCTR; Reporting group ;[PATCH]/SRC_20190131;;;;M;20190201
20190131;ATB;YSTAGREG;Stage number;[PATCH]/SRC_20190131;;;;C;20190201
20190131;AMK;YEST;Stage title registration;[PATCH]/SRC_20190131;;;;M;20190201
20190131;AMK;YEST;Estate;[PATCH]/SRC_20190131;;;;M;20190201
20190131;AMK;YLOT1;;[PATCH]/SRC_20190131;;;;M;20190201
20190131;AMK;YSLC;Land Developments - Stage;[PATCH]/SRC_20190131;;;;M;20190201
20190131;AMK;YSLCCONSGN;Lot;[PATCH]/SRC_20190131;;;;M;20190201
20190131;AMK;YSTA; Intended use ;[PATCH]/SRC_20190131;;;;M;20190201
20190131;ACLA;YEST; Land development & Settlement;[PATCH]/SRC_20190131;;;;M;20190201
20190131;ACLA;YLOT;Lot;[PATCH]/SRC_20190131;;;;M;20190201
20190131;ACLA;YSALCTR; Trafic light ;[PATCH]/SRC_20190131;;;;C;20190201
20190131;ACLA;YSRG;Land Developm - Sales Contract;[PATCH]/SRC_20190131;;;;M;20190201
20190131;ACLA;YSTA;Sales contract;[PATCH]/SRC_20190131;;;;M;20190201
